학년,전공,교과코드-구분,과목명,학점,담당교수,시간,강의실
*,교양,CLTR096-001,영상으로보는독일문화,3,,"화5B,6A,6B",사회과학대학-101
1,교양,CLTR024-001,독일어1,3,김남희,"월8B,9A,9B 수7A,7B,8A",인문대학-313
1,교양,CLTR045-002,논리와 비판적 사고,3,배성민,"화1A,1B,2A 목2B,3A,3B",인문대학-218
1,교양,CLTR131-001,독일문학의 이해,3,김정철,"화5B,6A,6B 목5B,6A,6B",인문대학-218
1,교양,CLTR205-003,대학글쓰기,3,,"월5B,6A,6B 금5B,6A,6B",KNU글로벌프라자-308
1,전공기초,DTED231-001,기초독문법,3,김남희,"화8B,9A,9B 10A,10B,11A",인문대학-218
1,전공기초,DTED231-002,기초독문법,3,김남희,"월7A,7B,8A 수5B,6A,6B",인문대학-218
1,전공기초,GERL301-001,독일어발음및어휘연습,3,김미연,"화2B,3A,3B 목1A,1B,2A",인문대학-219
1,전공기초,GERL301-002,독일어발음및어휘연습,3,김미연,"화7A,7B,8A 목7A,7B,8A",인문대학-219
2,전공기초,GERL302-001,기초독문이해,3,이덕형,"화2B,3A,3B 목1A,1B,2A",인문대학-317
2,전공기초,GERL331-001,독일어회화1,3,"최, 동희 리오바","화7A,7B,8A 목7A,7B,8A",인문대학-317
2,전공기초,GERL331-002,독일어회화1,3,"최, 동희 리오바","월8B,9A,9B 수7A,7B,8A",인문대학-317
2,전공,GERL352-001,독일지역학 입문,3,김정철,"월1A,1B,2A 수2B,3A,3B",인문대학-218
2,전공기초,GERL491-001,독작문1,3,"최, 동희 리오바","월7A,7B,8A 수5B,6A,6B",인문대학-317
2,전공,GERL561-001,"교양소설, 문학적 상상과 치유",3,최승수,"화5B,6A,6B 목5B,6A,6B",인문대학-317
2,융합전공,HUCO211-001,인문학과 카운슬링1,3,김석수,"월4A,4B,5A 수4A,4B,5A",인문대학-218
3,융합전공,CUCD303-001,유럽문화콘텐츠,3,김미연,"화5B,6A,6B 목5B,6A,6B",대학원동-316
3,전공,GERL410-001,독문학사,3,이덕형,"화1A,1B,2A 목2B,3A,3B",인문대학-313
3,전공,GERL451-001,독일어회화3,3,"최, 동희 리오바","화8B,9A,9B 목8B,9A,9B",인문대학-317
3,전공,GERL504-001,독일의 언론,3,최승수,"화2B,3A,3B 목1A,1B,2A",대학원동-316
3,전공,GERL526-001,독일문장구조의이해,3,김남희,"화7A,7B,8A 목7A,7B,8A",인문대학-218
4,전공,GERL404-001,독일사회와 세계화,3,김정철,"수1A,1B,2A 금2B,3A,3B",인문대학-218
4,전공,GERL506-001,독일의 경제,3,,"화8B,9A,9B 목8B,9A,9B",대학원동-315
*,교양,CLTR011-002,중국어1,3,전윤희,"화7A,7B,8A 목7A,7B,8A",KNU글로벌프라자-308
*,교양,CLTR012-001,중국어2,3,안찬순,"화8B,9A,9B 목8B,9A,9B",인문대학-308
*,교양,CLTR126-002,중국문학의이해,3,박세욱,"수1A,1B,2A 금2B,3A,3B",KNU글로벌프라자-308
*,교양,CLTR554-001,비즈니스 중국어,3,박병구,"월7A,7B,8A 금7A,7B,8A",KNU글로벌프라자-402
1,전공,CHIL463-001,중국의 언어와 문자,3,박향란,"화1A,1B,2A 목2B,3A,3B",대학원동-202
1,전공,CHIL567-001,중국언어와 문학의 기초,3,김미정,"수1A,1B,2A 금2B,3A,3B",대학원동-301
1,교양,CLTR011-001,중국어1,3,사위국,"월8B,9A,9B 수7A,7B,8A",인문대학-308
1,교양,CLTR016-001,교양한문,3,박정희,"화7A,7B,8A 목7A,7B,8A",KNU글로벌프라자-401
1,교양,CLTR103-001,과학사의이해,3,,"화8B,9A,9B 목8B,9A,9B",KNU글로벌프라자-501
1,교양,CLTR205-004,대학글쓰기,3,,"월5B,6A,6B 금5B,6A,6B",인문대학-308
2,전공,CHIL316-001,중국고전문학의흐름 1,3,이치수,"화7A,7B,8A 목7A,7B,8A",대학원동-301
2,전공,CHIL316-002,중국고전문학의흐름 1,3,이세동,"월8B,9A,9B 수7A,7B,8A",대학원동-301
2,전공,CHIL351-001,중급중국어회화,3,,"월1A,1B,2A 수2B,3A,3B",대학원동-301
2,전공,CHIL351-002,중급중국어회화,3,,"화8B,9A,9B 목8B,9A,9B",대학원동-202
2,전공,CHIL365-001,중급중국어독해,3,안찬순,"화2B,3A,3B 목1A,1B,2A",대학원동-301
2,전공,CHIL383-001,중국어문법1,3,이혜정,"화1A,1B,2A 목2B,3A,3B",대학원동-301
2,전공,CHIL437-001,중국고전명문읽기,3,이세동,"월7A,7B,8A 금7A,7B,8A",대학원동-301
2,교양,CLTR126-001,중국문학의이해,3,서주영,"화2B,3A,3B 목1A,1B,2A",인문대학-101
3,전공,CHIL371-001,중국어작문 1,3,,"월2B,3A,3B 금1A,1B,2A",대학원동-202
3,전공,CHIL371-002,중국어작문 1,3,,"화7A,7B,8A 목7A,7B,8A",대학원동-202
3,전공,CHIL423-001,중국현대문학의이해,3,김미정,"월5B,6A,6B 금5B,6A,6B",대학원동-301
3,전공심화,CHIL424-001,중국고전시의이해,3,이치수,"화5B,6A,6B 목5B,6A,6B",대학원동-301
3,융합전공,CHTR301-001,중국문화와통상,3,박병구,"월1A,1B,2A 수2B,3A,3B",대학원동-202
3,교직,TCHR493-001,중국어 논리 및 논술지도,3,장태원,"화8B,9A,9B 목8B,9A,9B",대학원동-301
4,전공,CHIL321-001,중국현대문선독,3,이시활,"화2B,3A,3B 목1A,1B,2A",대학원동-202
4,전공,CHIL522-001,시경과중국문화,3,박미경,"월5B,6A,6B 금5B,6A,6B",대학원동-202
4,전공심화,CHIL562-001,중국어학특강,3,허웨이,"수1A,1B,2A 금2B,3A,3B",대학원동-202
4,전공,CHIL563-001,중국어실용문읽기,3,서주영,"화5B,6A,6B 목5B,6A,6B",대학원동-202
*,교양,CLTR038-001,스페인어,3,김선웅,"월7A,7B,8A 금7A,7B,8A",인문대학-313
*,교양,CLTR040-001,스페인어 2,3,김선웅,"월8B,9A,9B 수7A,7B,8A",KNU글로벌프라자-307
*,교양,CLTR041-002,한국사,3,이재현,"수8B,9A,9B 금8B,9A,9B",KNU글로벌프라자-510
*,교양,CLTR043-003,서양의역사와문화,3,강미경,"월2B,3A,3B 금1A,1B,2A",KNU글로벌프라자-501
*,교양,CLTR210-035,명저읽기와 토론,3,김유경,"화2B,3A,3B 목1A,1B,2A",인문대학-314
*,교양,CLTR457-001,한국불교문화사,3,한기문,"월1A,1B,2A 수2B,3A,3B",KNU글로벌프라자-501
*,교양,CLTR468-001,인물로 본 서양사,3,최현미,"월8B,9A,9B 수7A,7B,8A",KNU글로벌프라자-402
*,교양,CLTR474-001,역사로 보는 서양기업과 기업문화,3,김건우,"화1A,1B,2A 목2B,3A,3B",KNU글로벌프라자-510
*,교양,CLTR521-001,기독교와 인류문명,3,윤영휘,"화5B,6A,6B 목5B,6A,6B",KNU글로벌프라자-401
*,교양,CLTR577-001,영남학과 지방학,3,정재훈,"화2B,3A,3B 목1A,1B,2A",KNU글로벌프라자-402
*,교양,CLTR578-001,중국문화 읽기,3,윤재석,"화1A,1B,2A 목2B,3A,3B",KNU글로벌프라자-402
*,교양,CLTR581-001,한국의 세계문화유산,3,이영호,"화8B,9A,9B 목8B,9A,9B",제4합동강의동-408
1,교양,CLTR016-002,교양한문,3,이미진,"화8B,9A,9B 목8B,9A,9B",인문대학-110
1,교양,CLTR041-001,한국사,3,박보영,"월7A,7B,8A 금7A,7B,8A",KNU글로벌프라자-502
1,교양,CLTR042-001,동양의역사와문화,3,최윤정,"월1A,1B,2A 수2B,3A,3B",KNU글로벌프라자-401
1,교양,CLTR043-002,서양의역사와문화,3,김유경,"화5B,6A,6B 목5B,6A,6B",인문대학-101
1,교양,CLTR083-001,경제의이해,3,이상락,"월2B,3A,3B 금1A,1B,2A",KNU글로벌프라자-401
1,교양,CLTR101-002,인간과자연,3,진원형,"수1A,1B,2A 금2B,3A,3B",대학원동-201
2,전공,HIST211-001,한국고대사,3,이영호,"화2B,3A,3B 목1A,1B,2A",인문대학-218
2,전공심화,HIST234-001,전쟁과인간,3,윤영휘,"화8B,9A,9B 목8B,9A,9B",인문대학-313
2,전공심화,HIST235-001,역사와픽션,3,최윤정,"화7A,7B,8A 목7A,7B,8A",인문대학-313
2,전공,HIST251-001,한국현대사,3,전현수,"화5B,6A,6B 목5B,6A,6B",인문대학-313
2,전공,HIST312-001,중국고대사,3,윤재석,"월8B,9A,9B 수7A,7B,8A",대학원동-316
2,전공,HIST352-001,중국현대사,3,구소영,"월1A,1B,2A 수2B,3A,3B",인문대학-313
2,전공,HIST411-001,서양고대사,3,변정심,"월2B,3A,3B 금1A,1B,2A",인문대학-313
3,전공,HIST232-001,조선시대사,3,정재훈,"화7A,7B,8A 목7A,7B,8A",대학원동-316
3,전공,HIST263-001,한국사특강1,3,김경남,"화8B,9A,9B 목8B,9A,9B",대학원동-316
3,전공,HIST332-001,중국근세사,3,최윤정,"화2B,3A,3B 목1A,1B,2A",인문대학-313
3,전공,HIST431-001,서양근대사1,3,윤영휘,"월5B,6A,6B 금5B,6A,6B",대학원동-316
3,전공심화,HIST525-001,기초사료강독 2,3,한기문,"화1A,1B,2A 목2B,3A,3B",대학원동-316
3,교직,TCHR472-001,역사 논리 및 논술지도,3,김종건,"금7A,7B,8A 8B,9A,9B",대학원동-316
4,전공,HIST482-001,미국사,3,,"수1A,1B,2A 금2B,3A,3B",인문대학-313
*,교양,CLTR044-003,철학의이해,3,허재훈,"월7A,7B,8A 금7A,7B,8A",인문대학-101
*,교양,CLTR045-003,논리와 비판적 사고,3,권홍우,"수1A,1B,2A 금2B,3A,3B",인문대학-211
*,교양,CLTR048-001,철학사상사,3,정낙림,"월5B,6A,6B 금5B,6A,6B",인문대학-211
*,교양,CLTR513-001,철학 상담,3,김석수,"월2B,3A,3B 금1A,1B,2A",인문대학-211
*,교양,CLTR515-001,과학기술과 윤리,3,김석수,"화1A,1B,2A 목2B,3A,3B",KNU글로벌프라자-401
*,교양,CLTR571-001,종교와 인간,3,김윤동,"월8B,9A,9B 수7A,7B,8A",인문대학-101
*,교양,CLTR572-001,명상과 심리,3,임승택,"화7A,7B,8A 목7A,7B,8A",인문대학-308
*,교양,CLTR574-001,주역의 기호학,3,방인,"화5B,6A,6B 목5B,6A,6B",KNU글로벌프라자-501
1,교양,CLTR016-002,교양한문,3,이미진,"화8B,9A,9B 목8B,9A,9B",인문대학-110
1,교양,CLTR041-003,한국사,3,이영재,"수8B,9A,9B 금8B,9A,9B",KNU글로벌프라자-401
1,교양,CLTR044-002,철학의이해,3,석영진,"월2B,3A,3B 금1A,1B,2A",인문대학-218
1,교양,CLTR067-001,사회학의 이해,3,박신규,"화5B,6A,6B 목5B,6A,6B",조형관(제3합동강의동)-103
1,교양,CLTR103-002,과학사의이해,3,윤일희,"화2B,3A,3B 목1A,1B,2A",KNU글로벌프라자-510
1,전공,PHIL261-001,철학의 근본문제,3,권홍우,"월5B,6A,6B 금5B,6A,6B",인문대학-422
2,교양,CLTR210-007,명저읽기와 토론,3,권홍우,"수8B,9A,9B 금8B,9A,9B",인문대학-308
2,전공,PHIL311-001,서양고대철학사,3,김윤동,"화2B,3A,3B 목1A,1B,2A",인문대학-422
2,전공,PHIL321-001,근세철학사,3,김석수,"월1A,1B,2A 수2B,3A,3B",인문대학-422
2,융합전공,PHIL322-001,논리학,3,권홍우,"화4A,4B,5A 목4A,4B,5A",인문대학-218
2,전공,PHIL392-001,인도철학사,3,박효엽,"수8B,9A,9B 금8B,9A,9B",인문대학-422
2,전공,PHIL587-001,예술철학,3,정낙림,"화8B,9A,9B 목8B,9A,9B",인문대학-422
3,융합전공,HUCO213-001,인문학과 카운슬링3,3,배정순,"월2B,3A,3B 금1A,1B,2A",인문대학-422
3,전공,PHIL344-001,과학철학,3,권홍우,"화7A,7B,8A 목7A,7B,8A",인문대학-422
3,전공,PHIL422-001,역사철학,3,김재철,"화1A,1B,2A 목2B,3A,3B",인문대학-422
3,전공심화,PHIL454-001,철학적 인간학,3,정낙림,"수1A,1B,2A 금2B,3A,3B",인문대학-422
3,교직,TCHR494-001,철학 논리 및 논술지도,3,김재철,"금5B,6A,6B 7A,7B,8A",인문대학-420
4,전공심화,PHIL534-001,현대유럽철학,3,김재철,"화5B,6A,6B 목5B,6A,6B",인문대학-422
4,전공심화,PHIL545-001,정치사회철학,3,이상환,"수5B,6A,6B 금4A,4B,5A",인문대학-422
4,전공심화,PHIL585-001,한국철학사,3,방인,"월4A,4B,5A 수4A,4B,5A",인문대학-422
4,전공,PHIL589-001,비판이론,3,이병탁,"월7A,7B,8A 금7A,7B,8A",인문대학-422
*,교양,CLTR046-001,고고학의 이해,3,주홍규,"월8B,9A,9B 수7A,7B,8A",제4합동강의동-408
*,교양,CLTR094-002,문화인류학의이해,3,이준원,"수8B,9A,9B 금8B,9A,9B",인문대학-218
1,전공필수,ARAN211-001,고고학입문,3,주홍규,"월7A,7B,8A 수8B,9A,9B",대학원동-315
1,전공,ARAN430-001,한국민속학,3,안승택,"화2B,3A,3B 목1A,1B,2A",대학원동-315
1,교양,CLTR017-001,실용한자,3,정병호,"월8B,9A,9B 수7A,7B,8A",KNU글로벌프라자-401
1,교양,CLTR094-001,문화인류학의이해,3,김희경,"화8B,9A,9B 목8B,9A,9B",인문대학-211
1,교양,CLTR108-001,생명의신비,3,신선영,"화7A,7B,8A 목7A,7B,8A",KNU글로벌프라자-402
1,교양,CLTR210-008,명저읽기와 토론,3,안승택,"수1A,1B,2A 금2B,3A,3B",인문대학-308
2,전공,ARAN212-001,한국고고학입문,3,김도영,"월2B,3A,3B 금1A,1B,2A",대학원동-315
2,전공,ARAN318-001,야외고고학실습,3,남익희,"수5B,6A,6B 7A,7B,8A",제4합동강의동-403
2,전공,ARAN323-001,문화와정치,3,박충환,"화7A,7B,8A 목7A,7B,8A",대학원동-315
2,전공,ARAN327-001,"환경,생태의 문화인류학",3,설병수,"월8B,9A,9B 수8B,9A,9B",인문대학-311
3,전공,ARAN328-001,"성,가족,친족의 비교문화론",3,김희경,"월1A,1B,2A 수2B,3A,3B",대학원동-315
3,전공필수,ARAN411-001,고고학이론과방법,3,김도영,"월5B,6A,6B 금5B,6A,6B",대학원동-315
3,전공,ARAN413-001,가야고고학,3,박천수,"화1A,1B,2A 목2B,3A,3B",제4합동강의동-403
3,전공,ARAN521-001,영상인류학,3,정형민,"화5B,6A,6B 7A,7B,8A",인문대학-311
4,융합전공,ARAN432-001,문화정책과 지역개발,3,설병수,"월7A,7B,8A 수7A,7B,8A",인문대학-311
4,전공,ARAN523-001,인류학현지조사,3,안승택,"목5B,6A,6B 7A,7B,8A",인문대학-311
4,전공,ARAN526-001,음식과 문화,3,방태곤,"화8B,9A,9B 목8B,9A,9B",인문대학-311
*,교양,CLTR032-002,일어 I,3,손정아,"월7A,7B,8A 금7A,7B,8A",KNU글로벌프라자-307
*,교양,CLTR033-001,일어 II,3,채수도,"수1A,1B,2A 금2B,3A,3B",KNU글로벌프라자-307
*,교양,CLTR208-002,심화글쓰기,3,이준섭,"월2B,3A,3B 금1A,1B,2A",KNU글로벌프라자-308
*,교양,CLTR476-001,일본어 스피치와 프리젠테이션,3,이승민,"월5B,6A,6B 금5B,6A,6B",인문대학-101
*,교양,CLTR568-001,영상으로 배우는 일본언어와 문화,3,고정도,"월2B,3A,3B 금1A,1B,2A",제4합동강의동-408
*,교양,CLTR583-001,일본대중문화의 이해,3,이준섭,"월1A,1B,2A 수2B,3A,3B",KNU글로벌프라자-402
1,교양,CLTR016-001,교양한문,3,박정희,"화7A,7B,8A 목7A,7B,8A",KNU글로벌프라자-401
1,교양,CLTR032-001,일어 I,3,이자호,"화2B,3A,3B 목1A,1B,2A",인문대학-308
1,교양,CLTR101-003,인간과자연,3,최재우,"수1A,1B,2A 금2B,3A,3B",KNU글로벌프라자-401
1,교양,CLTR210-009,명저읽기와 토론,3,조헌구,"화1A,1B,2A 목2B,3A,3B",KNU글로벌프라자-307
1,전공기초,JPNL202-001,전공일본어1,3,채수도,"수2B,3A,3B 금1A,1B,2A",대학원동-302
1,전공기초,JPNL202-002,전공일본어1,3,이준섭,"월7A,7B,8A 수7A,7B,8A",인문대학-319
